[INFO ] 2023-01-31T06:59:37,859Z [Test worker] internal.TestCordappImpl. - Generating CorDapp jar from local project in /Users/peter.li/Desktop/obligation-cordapp/workflows ... {}
[INFO ] 2023-01-31T06:59:43,521Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:43,522Z [Connection worker] internal.TestCordappImpl. - Configure project :contracts {}
[INFO ] 2023-01-31T06:59:43,552Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:43,553Z [Connection worker] internal.TestCordappImpl. - Configure project :workflows {}
[INFO ] 2023-01-31T06:59:43,673Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:43,673Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:43,778Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :workflows:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:43,798Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:43,798Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:43,798Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:43,811Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :contracts:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:43,811Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:43,811Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:43,811Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:43,823Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:43,863Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:43,874Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:43,874Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:43,958Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :contracts:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:43,968Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:43,968Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:43,969Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:43,969Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :contracts:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,055Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,055Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,066Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,539Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,539Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,576Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:44,577Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,608Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,608Z [Connection worker] internal.TestCordappImpl. - Task :contracts:compileJava {}
[INFO ] 2023-01-31T06:59:44,608Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,608Z [Connection worker] internal.TestCordappImpl. - Task :contracts:processResources {}
[INFO ] 2023-01-31T06:59:44,620Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,620Z [Connection worker] internal.TestCordappImpl. - Task :contracts:classes {}
[INFO ] 2023-01-31T06:59:44,620Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,620Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,620Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,651Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,652Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,662Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,662Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Resolve files of :contracts:runtime {}
[INFO ] 2023-01-31T06:59:44,663Z [Connection worker] internal.TestCordappImpl. - Task :contracts:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,673Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,673Z [Connection worker] internal.TestCordappImpl. - Task :contracts:inspectClassesForKotlinIC {}
[INFO ] 2023-01-31T06:59:44,685Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,685Z [Connection worker] internal.TestCordappImpl. - Task :contracts:jar {}
[INFO ] 2023-01-31T06:59:44,706Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,706Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,706Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:kotlinCompilerClasspath {}
[INFO ] 2023-01-31T06:59:44,706Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,719Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :workflows:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:44,719Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,719Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:44,719Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,719Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :workflows:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,750Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,750Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,750Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,750Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:compileClasspath {}
[INFO ] 2023-01-31T06:59:44,751Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,762Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:kotlinCompilerPluginClasspath {}
[INFO ] 2023-01-31T06:59:44,763Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileKotlin {}
[INFO ] 2023-01-31T06:59:44,763Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,763Z [Connection worker] internal.TestCordappImpl. - Task :workflows:compileJava {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Task :workflows:processResources {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Task :workflows:classes {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,774Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,785Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,818Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,818Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,818Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,818Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,828Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Resolve files of :workflows:runtime {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:configureCordappFatJar {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,829Z [Connection worker] internal.TestCordappImpl. - Task :workflows:inspectClassesForKotlinIC {}
[INFO ] 2023-01-31T06:59:44,860Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:44,861Z [Connection worker] internal.TestCordappImpl. - Task :workflows:jar {}
[INFO ] 2023-01-31T06:59:46,586Z [Connection worker] internal.TestCordappImpl. - Run tasks {}
[INFO ] 2023-01-31T06:59:46,597Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:46,597Z [Connection worker] internal.TestCordappImpl. - Build model 'java.lang.Void' for project ':workflows' {}
[INFO ] 2023-01-31T06:59:46,597Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:46,612Z [Connection worker] internal.TestCordappImpl. - Build {}
[INFO ] 2023-01-31T06:59:46,632Z [Connection worker] internal.TestCordappImpl. - Deleting unused version-specific caches in /Users/peter.li/Desktop/obligation-cordapp/.gradle {}
[INFO ] 2023-01-31T06:59:46,632Z [Connection worker] internal.TestCordappImpl. - Build {}
[INFO ] 2023-01-31T06:59:46,647Z [Connection worker] internal.TestCordappImpl. -  {}
[INFO ] 2023-01-31T06:59:52,334Z [Test worker] cordapp.JarScanningCordappLoader. - Looking for CorDapps in [build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps] {}
[INFO ] 2023-01-31T06:59:52,343Z [Test worker] cordapp.JarScanningCordappLoader. - Loading CorDapps from RestrictedURL(url=file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/accounts-contracts-1.0.jar, rootPackageName=null), RestrictedURL(url=file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/accounts-workflows-1.0.jar, rootPackageName=null), RestrictedURL(url=file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/corda-finance-contracts-4.9.jar, rootPackageName=null), RestrictedURL(url=file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/contracts-1.0.jar, rootPackageName=null), RestrictedURL(url=file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/workflows-1.0.jar, rootPackageName=null) {}
[INFO ] 2023-01-31T06:59:52,355Z [Test worker] cordapp.JarScanningCordappLoader. - Scanning CorDapp in file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/accounts-contracts-1.0.jar {}
[INFO ] 2023-01-31T06:59:52,473Z [Test worker] cordapp.JarScanningCordappLoader. - Scanning CorDapp in file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/accounts-workflows-1.0.jar {}
[INFO ] 2023-01-31T06:59:52,671Z [Test worker] cordapp.JarScanningCordappLoader. - Scanning CorDapp in file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/corda-finance-contracts-4.9.jar {}
[INFO ] 2023-01-31T06:59:52,811Z [Test worker] cordapp.JarScanningCordappLoader. - Scanning CorDapp in file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/contracts-1.0.jar {}
[INFO ] 2023-01-31T06:59:52,824Z [Test worker] cordapp.JarScanningCordappLoader. - Scanning CorDapp in file:/Users/peter.li/Desktop/obligation-cordapp/workflows/build/mock-network/20230131-065937.006-DE8FE0700A9846CF/nodes/0/cordapps/workflows-1.0.jar {}
[INFO ] 2023-01-31T06:59:54,412Z [Test worker] internal.InternalMockNetwork$MockNode. - MessagingService active change to: false {}
[INFO ] 2023-01-31T06:59:54,690Z [Test worker] internal.InternalMockNetwork$MockNode. - Flow external operation executor has a max of 2 threads {}
[INFO ] 2023-01-31T06:59:54,755Z [Test worker] internal.InternalMockNetwork$MockNode. - Node starting up ... {}
[INFO ] 2023-01-31T06:59:54,776Z [Test worker] internal.KeyStoreHandler. - Loaded trusted root certificate: DL7fwxLm5xbiMD8adUuYTsPZHAict46Ng4w6RNcySt5vAw, alias: cordarootca {}
[INFO ] 2023-01-31T06:59:54,779Z [Test worker] internal.KeyStoreHandler. - Loaded node identity key: DLBRwkZUo2ij1zLrLbCbGQmENLkPebt4G4ENVu86CUqvfj, alias: identity-private-key {}
[INFO ] 2023-01-31T06:59:54,906Z [Test worker] internal.NodeFlowManager. - Registered com.r3.corda.lib.accounts.workflows.flows.ShareStateAndSyncAccounts to initiate com.r3.corda.lib.accounts.workflows.flows.ReceiveStateAndSyncAccounts (version 1) {}
[INFO ] 2023-01-31T06:59:54,907Z [Test worker] internal.NodeFlowManager. - Registered com.r3.corda.lib.accounts.workflows.flows.ShareStateWithAccount to initiate com.r3.corda.lib.accounts.workflows.flows.ReceiveStateForAccount (version 1) {}
[INFO ] 2023-01-31T06:59:54,907Z [Test worker] internal.NodeFlowManager. - Registered com.r3.corda.lib.accounts.workflows.flows.RequestAccountInfo to initiate com.r3.corda.lib.accounts.workflows.flows.RequestAccountInfoHandler (version 1) {}
[INFO ] 2023-01-31T06:59:54,908Z [Test worker] internal.NodeFlowManager. - Registered com.r3.corda.lib.accounts.workflows.flows.RequestKeyForAccount to initiate com.r3.corda.lib.accounts.workflows.flows.SendKeyForAccount (version 1) {}
[INFO ] 2023-01-31T06:59:54,909Z [Test worker] internal.NodeFlowManager. - Registered com.r3.corda.lib.accounts.workflows.flows.ShareAccountInfo to initiate com.r3.corda.lib.accounts.workflows.flows.ShareAccountInfoHandler (version 1) {}
[INFO ] 2023-01-31T06:59:54,910Z [Test worker] internal.NodeFlowManager. - Registered net.corda.samples.obligation.flows.IOUIssueFlow to initiate net.corda.samples.obligation.flows.IOUIssueFlowResponder (version 1) {}
[INFO ] 2023-01-31T06:59:54,911Z [Test worker] internal.NodeFlowManager. - Registered net.corda.samples.obligation.flows.IOUSettleFlow to initiate net.corda.samples.obligation.flows.IOUSettleFlowResponder (version 1) {}
[INFO ] 2023-01-31T06:59:54,911Z [Test worker] internal.NodeFlowManager. - Registered net.corda.samples.obligation.flows.IOUTransferFlow to initiate net.corda.samples.obligation.flows.IOUTransferFlowResponder (version 1) {}
[INFO ] 2023-01-31T06:59:54,912Z [Test worker] internal.NodeFlowManager. - Registered net.corda.samples.obligation.flows.SyncKey to initiate net.corda.samples.obligation.flows.SyncKeyResponder (version 1) {}
[INFO ] 2023-01-31T06:59:55,048Z [Test worker] internal.InternalMockNetwork$MockNode. - Loaded network parameters: NetworkParameters {
      minimumPlatformVersion=4
      notaries=[NotaryInfo(identity=O=Notary, L=London, C=GB, validating=true)]
      maxMessageSize=10485760
      maxTransactionSize=524288000
      whitelistedContractImplementations {
        
      }
      eventHorizon=PT720H
      packageOwnership {
        
      }
      modifiedTime=2023-01-31T06:59:36.686Z
      epoch=1
  } {}
[INFO ] 2023-01-31T07:00:01,404Z [Test worker] internal.InternalMockNetwork$MockNode. - Connected to H2 database. {}
[INFO ] 2023-01-31T07:00:01,468Z [Test worker] persistence.HibernateConfiguration. - Init HibernateConfiguration for schemas: [CommonSchemaV1(name=net.corda.core.schemas.CommonSchema, version=1), VaultSchemaV1(name=net.corda.node.services.vault.VaultSchema, version=1), NodeInfoSchemaV1(name=net.corda.node.internal.schemas.NodeInfoSchema, version=1), NodeCoreV1(name=net.corda.node.services.schema.NodeSchemaService$NodeCore, version=1), AccountsContractsSchemaV1(name=com.r3.corda.lib.accounts.contracts.internal.schemas.AccountsContractsSchema, version=1), AccountsWorkflowsSchemaV1(name=com.r3.corda.lib.accounts.workflows.internal.schemas.AccountsWorkflowsSchema, version=1), CashSchemaV1(name=net.corda.finance.schemas.CashSchema, version=1), CommercialPaperSchemaV1(name=net.corda.finance.schemas.CommercialPaperSchema, version=1), JPANotarySchemaV1(name=net.corda.notary.jpa.JPANotarySchema, version=1)] {}
[INFO ] 2023-01-31T07:00:01,473Z [Test worker] factory.BaseSessionFactoryFactory. - Creating session factory for schemas: [CommonSchemaV1(name=net.corda.core.schemas.CommonSchema, version=1), VaultSchemaV1(name=net.corda.node.services.vault.VaultSchema, version=1), NodeInfoSchemaV1(name=net.corda.node.internal.schemas.NodeInfoSchema, version=1), NodeCoreV1(name=net.corda.node.services.schema.NodeSchemaService$NodeCore, version=1), AccountsContractsSchemaV1(name=com.r3.corda.lib.accounts.contracts.internal.schemas.AccountsContractsSchema, version=1), AccountsWorkflowsSchemaV1(name=com.r3.corda.lib.accounts.workflows.internal.schemas.AccountsWorkflowsSchema, version=1), CashSchemaV1(name=net.corda.finance.schemas.CashSchema, version=1), CommercialPaperSchemaV1(name=net.corda.finance.schemas.CommercialPaperSchema, version=1), JPANotarySchemaV1(name=net.corda.notary.jpa.JPANotarySchema, version=1)] {}
[INFO ] 2023-01-31T07:00:05,245Z [Test worker] factory.BaseSessionFactoryFactory. - Created session factory for schemas: [CommonSchemaV1(name=net.corda.core.schemas.CommonSchema, version=1), VaultSchemaV1(name=net.corda.node.services.vault.VaultSchema, version=1), NodeInfoSchemaV1(name=net.corda.node.internal.schemas.NodeInfoSchema, version=1), NodeCoreV1(name=net.corda.node.services.schema.NodeSchemaService$NodeCore, version=1), AccountsContractsSchemaV1(name=com.r3.corda.lib.accounts.contracts.internal.schemas.AccountsContractsSchema, version=1), AccountsWorkflowsSchemaV1(name=com.r3.corda.lib.accounts.workflows.internal.schemas.AccountsWorkflowsSchema, version=1), CashSchemaV1(name=net.corda.finance.schemas.CashSchema, version=1), CommercialPaperSchemaV1(name=net.corda.finance.schemas.CommercialPaperSchema, version=1), JPANotarySchemaV1(name=net.corda.notary.jpa.JPANotarySchema, version=1)] {}
[INFO ] 2023-01-31T07:00:05,520Z [Test worker] internal.InternalMockNetwork$MockNode. - Node-info has changed so submitting update. Old node-info was null {}
[INFO ] 2023-01-31T07:00:05,527Z [Test worker] network.PersistentNetworkMapCache. - Adding node with info: NodeInfo(addresses=[mock.node:1000], legalIdentitiesAndCerts=[O=Notary, L=London, C=GB], platformVersion=11, serial=1675148405520), owningKey=DLBRwkZUo2ij1zLrLbCbGQmENLkPebt4G4ENVu86CUqvfj {}
[INFO ] 2023-01-31T07:00:05,527Z [Test worker] network.PersistentNetworkMapCache. - No previous node found for O=Notary, L=London, C=GB {}
[INFO ] 2023-01-31T07:00:05,668Z [Test worker] internal.InternalMockNetwork$MockNode. - New node-info: NodeInfo(addresses=[mock.node:1000], legalIdentitiesAndCerts=[O=Notary, L=London, C=GB], platformVersion=11, serial=1675148405520) {}
[INFO ] 2023-01-31T07:00:05,719Z [Test worker] network.NetworkMapUpdater. - Auto-accept enabled for network parameter changes which modify only: [epoch, modifiedTime, packageOwnership, whitelistedContractImplementations] {}
[INFO ] 2023-01-31T07:00:05,748Z [Test worker] internal.MockNodeMessagingService. - Status change to true {}
[INFO ] 2023-01-31T07:00:05,750Z [Test worker] internal.InternalMockNetwork$MockNode. - MessagingService active change to: true {}
[INFO ] 2023-01-31T07:00:05,782Z [MockNode-1-2] network.PersistentNetworkMapCache. - Adding node with info: NodeInfo(addresses=[mock.node:1000], legalIdentitiesAndCerts=[O=Notary, L=London, C=GB], platformVersion=11, serial=1675148405520), owningKey=DLBRwkZUo2ij1zLrLbCbGQmENLkPebt4G4ENVu86CUqvfj {}
[INFO ] 2023-01-31T07:00:05,782Z [MockNode-1-2] network.PersistentNetworkMapCache. - Previous node was identical to incoming one - doing nothing {}
[INFO ] 2023-01-31T07:00:05,891Z [Test worker] persistence.NodeAttachmentService. - Stored new attachment: id=D370FD972C7E07CE73F4F9B7886D226807F6B16C4EE287398B9C69384109DC14 uploader=app filename=Accounts SDK - States and Contracts {}
[INFO ] 2023-01-31T07:00:05,934Z [Test worker] persistence.NodeAttachmentService. - Stored new attachment: id=BD0C932EAF8B1FE96DCBBF275B914BCD776D14EDC8F97DCEBF7E15DA09C606AE uploader=app filename=Corda Finance Demo {}
[INFO ] 2023-01-31T07:00:05,950Z [Test worker] persistence.NodeAttachmentService. - Stored new attachment: id=8D797B45F40704FA4FD70921F5BC6E2D7B34450D345CE6788D2A87859EF63BD8 uploader=app filename=Obligation Contracts {}
[INFO ] 2023-01-31T07:00:05,965Z [Test worker] internal.InternalMockNetwork$MockNode. - Installed com.r3.corda.lib.accounts.workflows.services.KeyManagementBackedAccountService Corda service {}
[INFO ] 2023-01-31T07:00:05,965Z [Test worker] utilities.NotaryLoader. - Starting notary service: class net.corda.notary.jpa.JPANotaryService {}
[INFO ] 2023-01-31T07:00:06,759Z [Test worker] statemachine.SingleThreadedStateMachineManager. - Node ready, info: NodeInfo(addresses=[mock.node:1000], legalIdentitiesAndCerts=[O=Notary, L=London, C=GB], platformVersion=11, serial=1675148405520) {}
[INFO ] 2023-01-31T07:00:06,774Z [Test worker] network.PersistentNetworkMapCache. - Adding node with info: NodeInfo(addresses=[mock.node:1000], legalIdentitiesAndCerts=[O=Notary, L=London, C=GB], platformVersion=11, serial=1675148405520), owningKey=DLBRwkZUo2ij1zLrLbCbGQmENLkPebt4G4ENVu86CUqvfj {}
[INFO ] 2023-01-31T07:00:06,775Z [Test worker] network.PersistentNetworkMapCache. - Previous node was identical to incoming one - doing nothing {}
